Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.534196245581179,0.318340540936641,1.00075295664558,0,0,0,4.52933028478602,0.972928286231666,-1.76112183995259E-18,-1.39343163695887E-18,0.0439598829889821,-1.26402728667595E-16,0.965992471324959,0,0,0,0,0,0,package://gemini_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/base_link.STL,,shoulder_mount-1;shoulder_mount-2;actual_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_shoulder_ball,6.2371143805251E-09,5.1601216632946E-09,0.0405440960537498,0,0,0,0.0544711802480257,4.16386347275612E-05,-8.02979166423697E-11,-9.44432762026392E-12,4.62851153976195E-05,-3.59594411893369E-11,3.82219033168237E-05,0,0,0,0,0,0,package://gemini_description/meshes/r_shoulder_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/r_shoulder_ball.STL,,shoulder ball-4,Origin_rs1,Axis_rs1,rs1,continuous,0.5342,-0.72092,1.1783,1.5708,0.0040924,0,base_link,0,0,1,,,,,,,,,,,,
r_bicept,-3.22171700650742E-07,2.47687296173194E-06,0.103443210779644,0,0,0,0.27245990707176,0.000714949661933855,-1.1719557948945E-05,-2.95555807574608E-09,0.000573884895229664,-2.95084293669371E-08,0.000255692784911415,0,0,0,0,0,0,package://gemini_description/meshes/r_bicept.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/r_bicept.STL,,Part6-2;5.25 in aluminum pipe-2,Origin_rs2,Axis_rs2,rs2,continuous,0,0,0.029008,0,1.5481,-1.5708,r_shoulder_ball,0,1,0,,,,,,,,,,,,
r_elbow_ball,4.82088047260021E-09,6.76370104368829E-09,-0.0396882448554229,0,0,0,0.0544711765716635,4.16386322117843E-05,-7.99853524786356E-11,-1.39495005403985E-11,4.62851096230032E-05,-3.77840023423479E-11,3.82219023335048E-05,0,0,0,0,0,0,package://gemini_description/meshes/r_elbow_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/r_elbow_ball.STL,,shoulder ball-3,Origin_re1,Axis_re1,re1,continuous,0,0,0.24215,-3.1416,0,-0.00012242,r_bicept,0,0,1,,,,,,,,,,,,
r_forearm,-0.0134758227402774,-0.133680447778059,-0.00117188051040784,0,0,0,0.399020633136462,0.000800265445630862,-5.11977241866116E-05,8.94994643330829E-06,0.000304300255531216,-1.29246447280764E-05,0.000582445526550102,0,0,0,0,0,0,package://gemini_description/meshes/r_forearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gemini_description/meshes/r_forearm.STL,,urdf_forearm-2,Origin_re12,Axis_re12,re1,continuous,0,0,-0.05,1.5935,-0.0040913,-1.571,r_elbow_ball,0.00021537,0.022713,0.99974,,,,,,,,,,,,
r_wrist,0.0133544170175107,-6.99440505513849E-15,-1.18793863634892E-14,0,0,0,0.0120708298165578,4.50218447918875E-06,7.90784665600694E-22,1.35988492703718E-21,4.73440053913696E-06,1.61995051162385E-20,1.51423045487236E-06,0,0,0,0,0,0,package://gemini_description/meshes/r_wrist.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/r_wrist.STL,,wrist_pivot-2,Origin_rw1,Axis_rw1,rw1,continuous,-0.023654,-0.23732,0.0053241,0.2299,-0.022623,-1.6708,r_forearm,1,0,0,,,,,,,,,,,,
r_hand,0.0619058412967715,0.0045109063152311,0.000800345401573588,0,0,0,0.178955913251513,0.000136528763256749,2.96325083363903E-05,2.81195853619585E-06,0.00026516103310724,5.30420772551096E-07,0.000391206453836346,0,0,0,0,0,0,package://gemini_description/meshes/r_hand.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gemini_description/meshes/r_hand.STL,,25kg motor-3;soft_hand-2,Origin_rw2,Axis_rw2,rw2,continuous,0.028848,0,0,1.5708,0,0.091473,r_wrist,0,1,0,,,,,,,,,,,,
l_shoulder_ball,4.7354530297028E-09,4.96404783945081E-09,-0.0394697291071835,0,0,0,0.054471175913326,4.16386318474759E-05,-8.00732427287903E-11,-1.20199059472294E-11,4.62851094387098E-05,-3.59209946397337E-11,3.82219025568896E-05,0,0,0,0,0,0,package://gemini_description/meshes/l_shoulder_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/l_shoulder_ball.STL,,shoulder ball-1,Origin_ls1,Axis_ls1,ls1,continuous,0.5342,-1.2006,1.1783,1.5708,-0.0040924,3.1416,base_link,0,0,1,,,,,,,,,,,,
l_bicpet,-0.00100559107551246,2.46885547117159E-06,0.103420375905642,0,0,0,0.272459883078294,0.000714949499290933,-1.17195329165913E-05,-2.94068577364188E-09,0.00057388488980549,-2.95939815462351E-08,0.000255692740695557,0,0,0,0,0,0,package://gemini_description/meshes/l_bicpet.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/l_bicpet.STL,,Part6-1;5.25 in aluminum pipe-1,Origin_ls2,Axis_ls2,ls2,continuous,0,0,-0.05,0,-1.5481,1.5708,l_shoulder_ball,0,1,0,,,,,,,,,,,,
l_elbow_ball,5.579627426755E-09,3.33881799985392E-09,-0.0411716393287667,0,0,0,0.0544711805998191,4.16386350282785E-05,-8.01710968800043E-11,-7.0816695151809E-12,4.6285115671902E-05,-3.51591159105833E-11,3.82219030866655E-05,0,0,0,0,0,0,package://gemini_description/meshes/l_elbow_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/l_elbow_ball.STL,,shoulder ball-2,Origin_le1,Axis_le1,le1,continuous,-0.0010053,0,0.24065,-3.1416,0,0.00012242,l_bicpet,0,0,1,,,,,,,,,,,,
l_forearm,-0.0134818917302594,-0.135163444602353,-0.00225492505633373,0,0,0,0.399020633136461,0.000800265445630859,-5.11977241866111E-05,8.94994643330891E-06,0.000304300255531217,-1.29246447280753E-05,0.000582445526550097,0,0,0,0,0,0,package://gemini_description/meshes/l_forearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gemini_description/meshes/l_forearm.STL,,urdf_forearm-1,Origin_le2,Axis_le2,le2,continuous,0,0,-0.05,1.5481,-0.0040913,-1.5706,l_elbow_ball,0.00021537,0.022713,-0.99974,,,,,,,,,,,,
l_wrist,0.0146201857300534,-5.55111512312578E-17,6.66133814775094E-16,0,0,0,0.0120708298165579,4.50218447918877E-06,6.41892155341149E-22,8.87068488901867E-21,4.73440053913698E-06,1.94552880072472E-20,1.51423045487238E-06,0,0,0,0,0,0,package://gemini_description/meshes/l_wrist.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_description/meshes/l_wrist.STL,,wrist_pivot-1,Origin_lw1,Axis_lw1,lw1,continuous,-0.023534,-0.23755,-0.0053292,-0.2299,0.022623,-1.6708,l_forearm,1,0,0,,,,,,,,,,,,
