2020-07-05 15:58:05,861 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-07-05 15:58:05,917 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-07-05 15:58:05,917 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-07-05 15:58:05,917 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-07-05 15:58:05,930 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-07-05 15:58:05,930 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-07-05 15:58:06,378 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-07-05 16:00:24,573 INFO  SwAddin.cs: 271 - Assembly export called for file gemini_master.SLDASM
2020-07-05 16:00:27,762 INFO  SwAddin.cs: 290 - Saving assembly
2020-07-05 16:00:29,770 INFO  SwAddin.cs: 293 - Opening property manager
2020-07-05 16:00:29,801 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from gemini_master.SLDASM
2020-07-05 16:00:29,852 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:00:29,854 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in gemini_master.SLDASM
2020-07-05 16:00:29,854 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:00:29,855 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:00:29,856 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-2
2020-07-05 16:00:29,857 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:00:29,859 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-2
2020-07-05 16:00:29,859 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body with electronics-1
2020-07-05 16:00:29,859 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:00:29,860 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body with electronics-1
2020-07-05 16:00:29,860 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-1
2020-07-05 16:00:29,861 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:00:29,862 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-1
2020-07-05 16:00:29,863 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from gemini_master.SLDASM
2020-07-05 16:00:29,863 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:00:29,863 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in gemini_master.SLDASM
2020-07-05 16:00:29,864 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:00:29,864 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
