Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.5342,0.31834,1.0008,0,0,0,4.5293,0.97293,1.6785E-18,-1.3902E-18,0.04396,-1.2852E-16,0.96599,0,0,0,0,0,0,package://gemini_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gemini_urdf/meshes/base_link.STL,,actual_body-1;shoulder_mount-2;shoulder_mount-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_shoulder_ball,4.7354533627697E-09,4.96404695127239E-09,-0.0394697291071835,0,0,0,0.0544711759133272,4.16386318474761E-05,-8.0073242821514E-11,-1.20199057837973E-11,4.62851094387099E-05,-3.59209946912273E-11,3.82219025568903E-05,0,0,0,0,0,0,package://gemini_urdf/meshes/r_shoulder_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/r_shoulder_ball.STL,,shoulder ball-1,Origin_rs1,Axis_rs1,rs1,continuous,0.5342,-1.2006,1.1783,1.5708,-0.0040924,3.1416,base_link,0,0,1,,,,,,,,,,,,
r_bicept,-0.00100559107551867,2.46885547094955E-06,0.103420375905638,0,0,0,0.272459883078294,0.000714949499290936,-1.17195329165907E-05,-2.94068577155733E-09,0.000573884889805494,-2.9593981545266E-08,0.000255692740695556,0,0,0,0,0,0,package://gemini_urdf/meshes/r_bicept.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/r_bicept.STL,,Part6-1;5.25 in aluminum pipe-1,Origin_rs2,Axis_rs2,rs2,continuous,0,0,-0.05,0,-1.5481,1.5708,r_shoulder_ball,0,1,0,,,,,,,,,,,,
r_elbow_ball,5.579627426755E-09,3.33881822189852E-09,-0.0411716393287669,0,0,0,0.0544711805998193,4.16386350282787E-05,-8.01710968297638E-11,-7.08166952979222E-12,4.62851156719021E-05,-3.51591161331876E-11,3.82219030866654E-05,0,0,0,0,0,0,package://gemini_urdf/meshes/r_elbow_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/r_elbow_ball.STL,,shoulder ball-2,Origin_re1,Axis_re1,re1,continuous,-0.0010053,0,0.24065,-3.1416,0,0.00012242,r_bicept,0,0,1,,,,,,,,,,,,
r_forearm,-0.0007375298690393,0.000193675483442457,0.0951334467415538,0,0,0,0.40633983271627,0.000593959126155207,3.33650513451329E-06,5.63176013190523E-06,0.000821848036104355,8.81223757790784E-07,0.000304533144855543,0,0,0,0,0,0,package://gemini_urdf/meshes/r_forearm.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/r_forearm.STL,,forearm_bottom-1;forearm_top-1;25kg motor-1;forearm-1;Part1-1,Origin_re2,,re2,continuous,-7.2564E-05,0.021803,-0.27981,0.095807,0.0031737,-0.033013,r_elbow_ball,1,0,0,,,,,,,,,,,,
r_wrist,0.0146201857300534,-1.66533453693773E-16,4.44089209850063E-16,0,0,0,0.0120708298165579,4.50218447918877E-06,2.76278324592711E-22,8.93024189312249E-21,4.73440053913698E-06,1.88464830764082E-20,1.51423045487237E-06,0,0,0,0,0,0,package://gemini_urdf/meshes/r_wrist.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/r_wrist.STL,,wrist_pivot-1,Origin_rw1,Axis_rw1,rw1,continuous,0,0,-0.0079263,2.8806,1.5708,0,r_forearm,1,0,0,,,,,,,,,,,,
r_hand,0.00451726055781632,0.0619078942856783,-0.000800417659166719,0,0,0,0.178970864822292,0.000265184422516135,2.96471793978179E-05,-5.35801900737643E-07,0.000136527540218109,-2.81196869973056E-06,0.000391228774291645,0,0,0,0,0,0,package://gemini_urdf/meshes/r_hand.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/r_hand.STL,,soft_hand-1;25kg motor-2,Origin_rw2,Axis_rw2,rw2,continuous,0.030114,0,0,1.4793,1.5708,0,r_wrist,1,0,0,,,,,,,,,,,,
l_shoulder_ball,6.2371143805251E-09,5.16012210738381E-09,0.0405440960537498,0,0,0,0.0544711802480257,4.16386347275612E-05,-8.02979166423697E-11,-9.44432761994934E-12,4.62851153976195E-05,-3.59594411893348E-11,3.82219033168237E-05,0,0,0,0,0,0,package://gemini_urdf/meshes/l_shoulder_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/l_shoulder_ball.STL,,shoulder ball-4,Origin_ls1,Axis_ls1,ls1,continuous,0.5342,-0.72092,1.1783,1.5708,0.0040924,0,base_link,0,0,1,,,,,,,,,,,,
l_bicept,-3.22171699984608E-07,2.47687296439647E-06,0.103443210779643,0,0,0,0.272459907071766,0.000714949661933871,-1.17195579489458E-05,-2.95555807770357E-09,0.000573884895229675,-2.95084293710081E-08,0.00025569278491142,0,0,0,0,0,0,package://gemini_urdf/meshes/l_bicept.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/l_bicept.STL,,Part6-2;5.25 in aluminum pipe-2,Origin_ls2,Axis_ls2,ls2,continuous,0,0,0.029008,0,1.5481,-1.5708,l_shoulder_ball,0,1,0,,,,,,,,,,,,
l_elbow_ball,4.82088036157791E-09,6.76370126573289E-09,-0.0396882448554228,0,0,0,0.0544711765716627,4.16386322117842E-05,-7.99853524244234E-11,-1.39495005281165E-11,4.6285109623003E-05,-3.77840024472415E-11,3.82219023335045E-05,0,0,0,0,0,0,package://gemini_urdf/meshes/l_elbow_ball.STL,1,1,1,1,0,0,0,0,0,0,package://gemini_urdf/meshes/l_elbow_ball.STL,,shoulder ball-3,Origin_le1,Axis_le1,le1,continuous,0,0,0.24215,-3.1416,0,-0.00012242,l_bicept,0,0,1,,,,,,,,,,,,
